gp,min,pts,fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,pts_per_min,per_simple,ts_pct,ast_to_ratio,def_contrib_per_min
40,6.7,3.6,39.8,13.6,77.6,1.2,0.4,0.3,0.1,0.6,1,0.5373133526397981,0.4179103853865096,0.49180314431608074,0.6666655555574075,0.17910445087993274
27,6.6,1.3,47.2,0.0,28.6,2.0,0.2,0.2,0.6,0.3,1,0.19696966712580802,0.4696968985307729,0.45391029754867496,0.6666644444518519,0.3333332828282905
45,15.3,5.6,32.3,30.1,86.1,2.0,0.5,0.5,0.3,0.5,0,0.3660130479730034,0.2745097859797526,0.4408059759436435,0.999998000004,0.15686273484557292
44,6.4,2.4,53.7,0.0,50.0,1.4,0.2,0.2,0.4,0.6,1,0.3749999414062591,0.4374999316406358,0.54347801472916,0.33333277777870374,0.2499999609375061
40,6.1,2.6,51.4,14.3,68.4,0.4,1.4,0.3,0.0,0.8,1,0.42622943832304294,0.44262287825854457,0.5803568837692482,1.749997812502734,0.09836063961300989
49,5.3,2.1,37.6,0.0,64.2,1.2,0.2,0.3,0.2,0.5,0,0.39622634033465276,0.35849049839801905,0.4404360568640701,0.3999992000016,0.22641505161980158
41,4.2,1.7,34.8,21.4,73.1,0.3,1.0,0.3,0.0,0.4,0,0.4047618083900456,0.42857132653063645,0.4560083390513202,2.499993750015625,0.11904759070295459
82,37.2,19.2,49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,0,0.5161290183836286,0.6666666487455201,0.5485713972244916,1.8947358448758713,0.2311827894843336
82,37.2,19.2,49.0,22.7,82.9,11.0,3.6,1.0,0.6,1.9,1,0.5161290183836286,0.6666666487455201,0.5485713972244916,1.8947358448758713,0.2311827894843336
80,31.4,14.3,52.5,11.1,65.4,8.0,2.4,1.1,0.8,2.2,1,0.455413998235223,0.5700636761126219,0.557896335994356,1.0909085950415476,0.21974521593168103
82,30.5,13.3,48.9,16.7,66.6,5.1,2.5,1.5,0.3,2.2,1,0.43606555947326037,0.4459016247245369,0.5229631548471882,1.1363631198349453,0.1508196671862404
76,30.3,10.6,37.5,13.3,73.0,2.9,2.2,2.0,0.2,2.0,1,0.3498349719526412,0.26402639392652166,0.41549071687905953,1.099999450000275,0.13201319696326083
61,29.6,12.0,45.4,32.0,74.8,3.1,4.6,1.0,0.3,2.5,0,0.40540539170927725,0.41216214823776526,0.5161733898680843,1.8399992640002942,0.1047297261915633
32,15.2,6.3,53.3,0.0,62.5,5.2,0.4,0.5,0.5,1.0,0,0.4144736569425226,0.5921052242036037,0.545737951188851,0.3999996000004001,0.29605261210180184
76,29.3,10.4,51.4,0.0,80.7,5.9,1.6,0.7,0.6,1.5,1,0.35494879334645757,0.4539248991834506,0.5674377381669863,1.0666659555560298,0.16382252000605732
52,24.6,9.3,45.1,43.4,83.6,1.9,3.7,0.6,0.0,1.8,0,0.3780487651199689,0.3902438865754518,0.5886075204294278,2.0555544135808814,0.08130080970321911
76,22.5,8.8,41.5,0.0,73.6,5.1,1.7,0.8,0.5,1.3,1,0.39111109372839586,0.4355555361975317,0.4442648986000709,1.3076913017759217,0.20888887960493868
78,22.0,10.1,44.7,39.0,74.1,3.0,2.2,1.2,0.3,1.2,0,0.4590908882231414,0.46363634256198455,0.5223416919381784,1.833331805556829,0.15909090185950445
51,20.7,8.4,49.7,0.0,66.7,5.4,0.8,0.5,0.5,1.5,1,0.40579708184555163,0.48309176410184723,0.5471599078739047,0.5333329777780149,0.1980676232817573
64,20.3,6.2,55.2,0.0,57.2,6.4,0.5,0.4,1.2,0.8,1,0.3054187041665663,0.5369457863573504,0.5681817140429409,0.6249992187509765,0.27093594724453457
55,20.3,10.4,52.9,0.0,51.5,6.1,0.7,0.4,1.5,1.4,1,0.5123152456987563,0.5960590839379759,0.5369681395117577,0.499999642857398,0.29556648790312867
82,19.6,7.4,41.9,4.3,80.6,2.0,3.9,1.0,0.3,1.7,1,0.37755100114535706,0.4285714067055405,0.4648240622080324,2.2941162975786487,0.13775509501249514
48,18.9,9.1,52.8,0.0,66.9,5.7,0.7,0.8,1.1,1.8,1,0.4814814560062722,0.6031745712606048,0.5603447585782317,0.3888886728396262,0.27513226057501267
34,13.4,4.3,30.2,18.5,91.2,1.4,3.1,0.6,0.2,1.0,0,0.3208954984406344,0.3731343005123655,0.39522051558446397,3.0999969000031005,0.1567164062151936
42,18.6,8.5,40.0,35.7,83.3,2.0,1.1,0.8,0.1,1.1,1,0.45698922274251486,0.34408600300612885,0.49789122564535787,0.9999990909099175,0.11290321973638602
82,18.4,5.5,37.0,14.5,74.1,1.7,3.8,0.7,0.1,1.2,1,0.2989130272329877,0.36956519730623927,0.4481746336090884,3.166664027779977,0.11413042857986802
64,17.0,7.0,39.0,23.1,74.5,2.0,3.2,1.1,0.1,1.5,1,0.4117646816609011,0.40588232906574523,0.42892151606353973,2.1333319111120597,0.15294116747404896
80,16.9,7.4,52.9,0.0,69.1,4.2,0.4,0.6,0.8,1.1,1,0.4378697965757517,0.5325443471867253,0.5660953846243292,0.3636360330581518,0.2544378547669908
77,15.1,5.6,46.7,21.4,81.0,3.8,0.4,0.3,0.6,0.9,1,0.3708609025919932,0.4635761282399914,0.5116958129210868,0.44444395061783265,0.2251655480022816
55,14.9,4.1,41.7,37.5,76.1,1.5,1.5,0.7,0.2,0.8,0,0.27516776676726395,0.30872481149497916,0.4604671023209563,1.8749976562529296,0.12751676996531744
48,14.8,5.1,40.7,9.5,80.4,1.7,2.1,0.9,0.0,1.3,0,0.3445945713111776,0.35135132761139687,0.4530916039282864,1.615383372782021,0.13513512600438338
51,14.5,5.0,39.9,27.0,87.5,1.5,2.8,0.9,0.0,1.4,0,0.34482756242568535,0.4344827286563636,0.5341879200453162,1.999998571429592,0.14482757621878786
51,13.2,3.9,40.2,36.7,76.9,2.1,0.8,0.3,0.2,0.7,0,0.29545452307162706,0.3030302800734637,0.45138878440074437,1.1428555102064142,0.15151514003673183
72,12.4,4.6,42.3,0.0,80.3,1.3,1.9,0.6,0.1,1.3,1,0.3709677120187329,0.3709677120187328,0.500870971064684,1.4615373372789713,0.1290322476586897
69,11.8,3.6,45.2,100.0,82.1,2.7,0.6,0.5,0.3,0.6,1,0.3050847199080746,0.42372877765010364,0.4766947890109139,0.9999983333361111,0.20338981327204975
54,11.3,5.7,56.8,0.0,66.1,3.4,0.3,0.6,0.7,0.8,1,0.504424734121705,0.6725663121622734,0.6089742288516605,0.3749995312505859,0.2920353723862502
24,10.6,4.1,30.3,36.6,66.7,0.7,1.5,0.7,0.1,1.3,0,0.38679241634033806,0.2358490343538647,0.4306721784302146,1.1538452662728722,0.12264149786400963
50,9.6,4.1,41.5,19.2,75.4,1.1,1.8,0.6,0.1,1.0,1,0.42708328884549074,0.43749995442708794,0.4848627046209308,1.7999982000018002,0.1458333181423627
56,9.6,3.4,45.6,0.0,65.5,1.2,1.1,0.6,0.2,0.8,1,0.3541666297743094,0.3958332921006987,0.4941859028529352,1.3749982812521484,0.16666664930555738
67,9.0,3.7,38.8,29.2,75.6,0.7,1.4,0.4,0.1,1.0,0,0.4111110654321039,0.32222218641975714,0.47338780107784006,1.3999986000014,0.12222220864197683
50,8.7,2.5,38.0,14.3,65.9,0.8,1.6,0.7,0.1,1.0,1,0.28735628880962205,0.32183904346677666,0.4234415909750708,1.5999984000016003,0.14942527018100343
45,8.5,2.7,47.5,0.0,75.0,1.5,0.3,0.2,0.2,0.6,1,0.31764702145329166,0.35294113494810186,0.5382772973376008,0.49999916666805555,0.14117645397924075
38,8.2,3.4,36.8,22.2,82.6,0.9,0.7,0.3,0.1,0.6,0,0.41463409577632987,0.2804877706722231,0.4183069836843052,1.166664722225463,0.12195120464009701
42,8.2,2.8,43.9,0.0,52.5,1.9,0.3,0.1,0.1,0.8,0,0.34146337299227164,0.2926828911362327,0.48010957472236804,0.3749995312505859,0.1463414455681164
54,8.2,3.2,45.6,18.8,74.4,1.3,0.6,0.2,0.1,0.5,0,0.3902438548483105,0.39024385484831037,0.5076140521529023,1.1999976000047998,0.10975608417608732
35,7.3,4.0,39.2,20.0,53.6,1.2,0.6,0.4,0.2,0.8,0,0.5479451304184753,0.34246570651154706,0.41220106920835337,0.7499990625011718,0.1643835391255426
37,7.3,2.8,44.3,18.2,81.0,1.1,0.3,0.2,0.1,0.5,0,0.38356159129293266,0.342465706511547,0.4888266449627636,0.5999988000023999,0.13698628260461881
46,6.7,2.6,43.1,27.0,52.6,0.8,0.5,0.2,0.0,0.3,0,0.3880596435731875,0.3283581599465434,0.485799519506906,1.6666611111296297,0.08955222543996637
51,6.4,2.2,38.4,43.3,83.3,0.8,0.3,0.1,0.0,0.3,0,0.3437499462890709,0.24999996093750604,0.46296276811331305,0.9999966666777779,0.09374998535156477
40,5.3,2.2,38.0,0.0,75.6,1.2,0.3,0.1,0.1,0.5,0,0.4150942613029696,0.39622634033465276,0.481610997543346,0.5999988000023999,0.16981128871485118
19,4.8,1.6,37.8,0.0,37.5,1.0,0.4,0.3,0.2,0.3,0,0.3333332638889034,0.3749999218750162,0.38535626909620946,1.3333288889037038,0.18749996093750815
36,4.3,1.3,35.3,11.8,66.7,0.6,0.6,0.1,0.0,0.5,0,0.30232551108709044,0.25581389399676885,0.412436286525199,1.1999976000047998,0.11627904272580401
79,37.7,18.0,42.2,27.3,73.6,8.8,4.0,1.4,1.1,2.9,1,0.4774535682373059,0.5145888457668742,0.4756870784520571,1.3793098692034933,0.23607426429511236
55,13.1,3.4,30.4,20.4,74.5,1.2,0.5,0.7,0.1,0.7,0,0.2595419649204607,0.16793891847794512,0.3957168538834139,0.7142846938790087,0.1221373952566874
74,35.2,18.4,46.7,34.2,73.1,10.3,2.2,1.0,1.3,2.9,1,0.5227272578770665,0.5880681651116997,0.5245153634825904,0.7586204280619214,0.2528409019079289
64,33.5,14.3,40.6,36.5,77.0,2.8,4.0,1.3,0.2,2.5,0,0.4268656588995326,0.36417909360659423,0.5261995491463387,1.599999360000256,0.10149253428380495
82,28.5,15.7,42.5,37.4,75.0,2.9,1.6,0.8,0.3,1.6,1,0.5508771736534325,0.3789473551246542,0.5064515802289303,0.9999993750003907,0.11228069781471237
82,27.4,7.2,45.0,7.7,71.1,3.0,6.4,2.0,0.2,2.2,1,0.2627737130374557,0.45255472800895147,0.4782146017249466,2.90908958677746,0.13868612632532387
81,25.9,7.1,51.2,0.0,72.2,7.9,0.3,0.6,1.5,0.9,1,0.27413126354705547,0.5135134936867376,0.5854220670478121,0.33333296296337445,0.258687248699334
76,25.4,12.0,44.1,13.3,78.2,3.4,1.4,0.9,0.3,1.9,1,0.4724409262818533,0.3740157333064672,0.5035246304527837,0.7368417174517277,0.12598424700849423
82,23.7,8.7,46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,0,0.36708859210596656,0.4388185468852933,0.5218329508357784,2.4705867820077754,0.12236286403532219
82,23.7,8.7,46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,1,0.36708859210596656,0.4388185468852933,0.5218329508357784,2.4705867820077754,0.12236286403532219
49,9.2,1.9,32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,0,0.2065217166824221,0.30434779300567477,0.4039113928948159,2.8333286111189815,0.1413043324669204
49,9.2,1.9,32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,1,0.2065217166824221,0.30434779300567477,0.4039113928948159,2.8333286111189815,0.1413043324669204
82,23.7,11.0,45.0,14.3,83.5,3.2,3.7,1.3,0.5,2.0,1,0.46413500151329107,0.4978902743506213,0.4924784659313695,1.8499990750004625,0.15611813687265247
76,22.6,6.9,50.8,0.0,63.6,5.1,0.9,0.6,1.9,1.3,1,0.3053097210039946,0.4734513064844554,0.5417712717067726,0.6923071597637233,0.2566371567859665
67,22.5,14.1,41.3,24.0,85.7,1.8,3.1,0.8,0.1,1.6,1,0.626666638814816,0.4088888707160504,0.44733499699651036,1.937498789063257,0.09777777343209897
70,20.6,8.8,43.9,9.7,70.7,2.1,2.5,0.4,0.2,1.6,0,0.4271844452823085,0.3495145461400706,0.479930139623676,1.5624990234381104,0.08737863653501764
81,20.5,8.6,42.8,29.9,81.6,3.5,1.8,0.5,0.3,1.5,1,0.41951217465794266,0.40487802903034004,0.49221606087270364,1.1999992000005335,0.15121950481856072
33,19.5,7.2,49.7,40.0,84.3,3.3,1.4,0.6,0.3,0.9,1,0.36923075029585894,0.46666664273504394,0.6012023044084328,1.555553827162414,0.14358973622616736
58,19.3,5.3,41.7,0.0,55.0,5.6,0.4,0.6,1.2,0.9,0,0.2746113847351614,0.4300517911890262,0.45160183169702933,0.44444395061783265,0.2642486909715704
70,16.9,7.2,41.9,25.0,79.6,1.7,1.3,0.3,0.1,1.0,0,0.42603547774938005,0.3076922894856634,0.4632011756045837,1.2999987000013002,0.0887573911977875
82,16.5,4.9,41.2,17.6,74.7,1.9,2.8,0.8,0.1,1.2,1,0.2969696789715346,0.37575755298439084,0.4598347485295142,2.3333313888905094,0.1272727195592291
62,16.2,6.9,38.0,29.2,77.3,1.9,1.2,0.5,0.1,1.2,0,0.42592589963420374,0.30246911713153596,0.45780248702196297,0.9999991666673612,0.11111110425240096
78,16.1,6.2,42.5,0.0,67.2,4.3,0.4,0.2,0.3,1.4,0,0.3850931437830345,0.3726707843061624,0.45939530832908887,0.2857140816327989,0.2049689313683893
73,16.1,5.5,48.7,0.0,66.2,4.8,0.5,0.3,0.3,0.7,1,0.34161488561398223,0.4906831993364473,0.5149811769698169,0.7142846938790087,0.2298136503221335
74,16.1,5.3,49.2,0.0,63.2,5.2,0.3,0.5,0.4,1.0,1,0.32919252613711014,0.4906831993364472,0.5381802318886612,0.2999997000003,0.2484471895374416
76,15.4,6.7,42.1,29.8,63.0,2.9,0.8,0.6,0.3,0.9,0,0.4350649068139671,0.3896103643110153,0.45715059263774666,0.8888879012356653,0.14935063965255585
55,14.9,5.7,46.5,0.0,71.2,4.2,0.6,0.6,0.5,0.8,1,0.3825503098959524,0.5167784888068128,0.49755577905799947,0.7499990625011718,0.25503353993063493
47,14.3,5.6,44.6,18.2,58.8,1.5,2.8,0.7,0.2,1.6,0,0.3916083642231913,0.3986013707271767,0.4787960877571669,1.7499989062506836,0.13986013007971118
37,13.6,8.1,44.1,40.0,72.2,2.1,0.9,0.4,0.1,1.0,1,0.5955881915008683,0.4558823194204177,0.5235263025431356,0.8999991000009001,0.1397058720804506
62,13.3,4.3,46.5,0.0,64.4,2.7,0.6,0.2,0.2,1.0,0,0.32330824636780103,0.33834583922211736,0.4981463164628553,0.5999994000006,0.17293231782463775
62,12.5,3.9,38.4,16.1,80.5,1.0,1.3,0.5,0.1,0.9,0,0.311999975040002,0.27199997824000177,0.46121086537112926,1.444442839507956,0.11199999104000072
51,11.9,6.9,43.8,11.8,68.4,2.0,0.8,0.6,0.2,0.8,0,0.5798318840477409,0.45378147447214495,0.46874993631115,0.9999987500015625,0.14285713085234197
36,11.8,3.9,41.3,0.0,55.6,1.4,1.0,0.4,0.0,0.8,1,0.3305084465670808,0.2542372665900621,0.42838303418650386,1.249998437501953,0.08474575553002071
74,11.6,3.1,41.6,25.0,65.2,1.9,0.7,0.5,0.2,0.3,1,0.2672413562722969,0.34482755648038316,0.44336371757330734,2.3333255555814816,0.1551724004161724
63,11.6,8.2,48.7,16.7,66.3,2.4,0.6,0.3,0.1,1.1,1,0.7068964907847853,0.5258620236325842,0.5226924371886235,0.5454540495872277,0.13793102259215326
33,10.8,2.2,34.8,27.3,64.3,2.2,0.8,0.5,0.2,0.3,0,0.20370368484225143,0.34259256087105916,0.38247552765106824,2.6666577778074076,0.24999997685185402
54,11.2,4.4,46.0,0.0,68.9,2.8,0.7,0.2,0.4,0.8,1,0.39285710778061544,0.4732142434630141,0.5018247030509345,0.874998906251367,0.214285695153063
73,11.0,3.8,40.8,27.8,73.2,1.1,1.2,0.5,0.1,0.7,0,0.34545451404958966,0.318181789256201,0.4589370872132639,1.714283265309621,0.1272727157024804
15,10.9,3.6,40.4,0.0,66.7,3.0,0.2,0.3,0.3,0.7,0,0.3302751990573212,0.40366968773672585,0.47318599548212525,0.28571387755160355,0.2568807103779165
64,10.9,3.7,44.1,0.0,70.2,1.1,2.1,0.4,0.2,1.1,1,0.3394495101422468,0.38532106556687484,0.4873549822563272,1.9090891735552968,0.11926604410403266
56,10.6,3.4,41.5,0.0,80.0,0.8,1.9,0.5,0.1,0.8,0,0.320754686721256,0.35849053221787436,0.4584680532718303,2.3749970312537108,0.10377357511570048
64,10.6,3.2,39.1,0.0,69.6,1.2,1.0,0.3,0.1,0.8,0,0.30188676397294684,0.2735848798504831,0.4535146106817997,1.249998437501953,0.11320753648985507
68,10.1,3.1,41.8,33.3,90.5,0.8,1.9,0.5,0.0,0.6,1,0.30693066268013247,0.40594055386727207,0.5058745085265964,3.166661388897685,0.0990098911871395
47,10.0,2.9,40.3,37.5,75.8,1.4,0.7,0.3,0.0,0.5,0,0.2899999710000029,0.3099999690000031,0.49862431271516067,1.3999972000055998,0.09999999000000101
52,9.8,3.5,44.7,50.0,66.1,2.1,0.3,0.2,0.1,0.8,1,0.35714282069971215,0.33673465951687137,0.4882811137608499,0.3749995312505859,0.1632652894627256
64,9.5,3.7,40.0,40.0,77.8,1.0,0.4,0.3,0.2,0.5,0,0.38947364321330075,0.2736841817174546,0.4503406888167749,0.7999984000032,0.1052631468144056
34,10.8,2.9,36.7,0.0,44.4,1.9,0.5,0.1,0.1,0.7,0,0.268518493655695,0.20370368484225135,0.3764277319761859,0.7142846938790087,0.12037035922496675
42,9.5,3.8,43.9,0.0,55.0,2.9,0.4,0.1,0.7,0.8,1,0.3999999578947413,0.47368416066482516,0.4589370872132639,0.49999937500078123,0.31578944044321683
50,9.3,4.5,45.8,15.8,84.8,1.3,0.7,0.2,0.0,1.0,1,0.48387091571280477,0.3548386715227236,0.4991125778366065,0.6999993000007,0.11827955717424117
52,7.3,2.8,45.5,0.0,65.3,1.8,0.2,0.2,0.7,0.3,1,0.38356159129293266,0.5205478738975516,0.5007151284995963,0.6666644444518519,0.27397256520923763
75,7.0,2.9,52.0,0.0,68.0,1.7,0.4,0.1,0.4,0.6,0,0.41428565510204923,0.4999999285714387,0.5354503192576369,0.6666655555574075,0.21428568367347375
39,6.8,2.2,42.0,24.0,48.0,1.7,0.5,0.4,0.3,0.3,1,0.32352936418685824,0.48529404628028744,0.4653128319319662,1.6666611111296297,0.24999996323529952
51,6.6,2.5,51.0,50.0,71.4,1.9,0.3,0.2,0.3,0.5,1,0.37878782139578465,0.5454544628099299,0.5630628094311668,0.5999988000023999,0.2424242056933022
52,6.2,1.3,37.3,0.0,54.5,1.5,0.1,0.1,0.1,0.1,0,0.20967738553590556,0.30645156347555425,0.412436286525199,0.9999900000999989,0.14516126690947306
39,5.8,1.5,51.3,0.0,90.5,1.2,0.2,0.1,0.1,0.1,1,0.25862064506540605,0.4310344084423435,0.6147535944642669,1.9999800001999979,0.1379310107015499
82,36.6,24.3,53.1,0.0,73.2,12.0,2.0,1.7,3.9,3.1,1,0.6639344080892239,0.8360655509271708,0.5959387582921936,0.6451610822061025,0.37978141038848606
31,10.7,3.4,35.3,25.8,55.2,1.4,0.4,0.3,0.1,0.2,0,0.31775697964888044,0.27102801205345683,0.45995658550958185,1.9999900000499997,0.1401869027862708
79,33.7,14.7,47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,0,0.4362017674717576,0.5578634849298668,0.5235042362176471,2.6363628374658066,0.1602373839692171
79,33.7,14.7,47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,1,0.4362017674717576,0.5578634849298668,0.5235042362176471,2.6363628374658066,0.1602373839692171
82,33.6,11.1,44.0,0.0,66.4,8.4,1.2,1.1,0.7,2.1,1,0.33035713302508535,0.4077380831030333,0.4851398177325334,0.5714282993198574,0.23214285023384373
82,31.5,11.4,46.1,27.7,58.9,2.6,6.8,1.6,0.3,1.7,1,0.36190475041572223,0.457142842630386,0.4801212533590589,3.9999976470602077,0.12380951987906287
81,30.5,14.3,49.4,16.1,68.7,2.5,7.6,1.8,0.1,3.0,1,0.46885244364418216,0.5311475235689337,0.5351796006602096,2.53333248888917,0.11803278301531858
80,30.2,12.7,44.6,0.0,76.8,5.8,1.1,0.8,0.7,1.2,1,0.4205297873996759,0.43708607824218293,0.5147535250686183,0.9166659027784145,0.16556290842506927
77,30.0,13.6,43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,1,0.4533333182222227,0.3833333205555559,0.46562582404643765,1.1999992000005335,0.14999999500000016
77,30.0,13.6,43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,0,0.4533333182222227,0.3833333205555559,0.46562582404643765,1.1999992000005335,0.14999999500000016
50,25.3,10.1,37.1,22.5,77.8,2.8,4.2,1.6,0.3,2.2,1,0.3992094703869774,0.36758891827711787,0.4172174143078805,1.9090900413227083,0.15415019153556556
81,25.1,10.0,48.1,11.1,86.6,3.7,1.9,0.6,0.2,1.4,1,0.3984063586292287,0.4143426129743978,0.54418801216935,1.3571418877557946,0.11553784400247634
82,23.0,8.9,50.7,30.0,71.9,3.1,1.8,0.9,0.4,1.9,1,0.38695650491493455,0.39565215671077586,0.5562499304687588,0.9473679224379357,0.15217390642722145
50,10.6,3.7,44.9,13.3,57.4,2.9,0.3,0.2,0.4,0.4,0,0.34905657084371977,0.4528301459594202,0.48890050504743526,0.7499981250046874,0.24528299572801932
81,22.0,11.5,49.4,5.9,70.5,3.9,1.5,0.8,0.4,1.7,1,0.5227272489669432,0.48636361425619923,0.5347841764523645,0.8823524221456341,0.17272726487603343
82,21.7,8.9,50.4,0.0,72.7,4.7,1.1,0.5,0.7,1.4,1,0.410138229947547,0.4792626507252234,0.5596075755020655,0.7857137244901969,0.17511519930344702
81,20.1,9.7,40.5,39.9,80.9,1.6,2.5,0.7,0.0,1.5,1,0.48258704066731134,0.3631840615331311,0.499176564514557,1.6666655555562964,0.09452735848122593
69,19.6,6.3,41.1,13.3,70.5,2.3,0.6,0.6,0.2,0.7,0,0.3214285550291553,0.26530610891295353,0.46079571960273263,0.8571416326548105,0.10204081112036677
82,19.1,9.1,39.7,27.3,55.0,3.8,0.9,0.7,0.7,1.6,1,0.4764397656314258,0.3455497201282868,0.43070802435554484,0.5624996484377197,0.1989528691647712
55,18.0,6.1,47.9,0.0,66.7,3.4,1.0,0.4,0.2,1.1,0,0.3388888700617294,0.37777775679012454,0.5127773179594286,0.9090900826453794,0.13888888117283993
75,17.9,7.3,47.0,0.0,76.2,3.1,0.7,0.4,0.3,0.9,1,0.4078212062669717,0.40223461440030095,0.5238231165581061,0.777776913581207,0.15083798040011284
72,17.0,8.7,49.7,0.0,72.2,5.0,0.6,0.3,0.2,0.7,0,0.5117646757785485,0.5823529069204172,0.550075802974734,0.8571416326548105,0.17058822525951614
79,16.8,8.0,48.6,0.0,74.7,1.9,1.5,0.7,0.2,1.2,1,0.4761904478458066,0.428571403061226,0.5356185678068335,1.2499989583342015,0.13095237315759684
25,10.4,3.3,39.5,38.5,69.2,3.4,0.2,0.2,0.4,0.4,0,0.3173076617973402,0.4807691845414246,0.4796510233572606,0.49999875000312505,0.2788461270340262
81,15.9,5.6,48.5,50.0,88.5,1.3,2.5,0.6,0.1,1.0,1,0.35220123571061407,0.40880500573553413,0.5343510430627779,2.4999975000025003,0.10691823226929356
63,14.0,4.7,46.6,0.0,62.1,3.6,0.4,0.4,0.4,1.1,1,0.3357142617346956,0.3999999714285736,0.4879567093113145,0.3636360330581518,0.21428569897959293
81,13.8,6.5,47.9,16.7,73.6,4.3,0.3,0.6,0.9,1.3,1,0.4710144586221407,0.5797101029195579,0.5345393857665484,0.23076905325457442,0.28985505145977886
61,13.2,5.3,43.7,0.0,64.3,2.8,0.8,0.2,0.2,0.8,1,0.40151512109733933,0.3939393640955028,0.4814679357798082,0.9999987500015625,0.16666665404040504
43,13.0,4.6,40.6,14.3,68.0,1.2,1.9,0.3,0.1,0.8,0,0.35384612662722104,0.3153845911242622,0.43693000818198924,2.3749970312537108,0.10769229940828466
55,12.9,4.3,36.9,7.1,56.2,3.1,0.4,0.4,0.1,0.8,1,0.33333330749354206,0.3023255579592592,0.4053543730478181,0.49999937500078123,0.17054262243855642
59,12.4,4.1,54.7,25.0,67.1,2.1,0.6,0.6,0.2,0.5,0,0.33064513462539236,0.42741932036940955,0.583048753399103,1.1999976000047998,0.17741934053069836
66,11.3,5.9,45.9,0.0,77.7,2.1,0.7,0.5,0.1,1.2,1,0.5221238475996596,0.46902650716579575,0.5651339913536415,0.5833328472226273,0.14159290782363648
70,34.5,16.7,40.5,26.4,70.3,6.2,6.3,1.9,0.6,3.5,0,0.48405795698382736,0.5130434633900446,0.48021621346812665,1.7999994857144326,0.2115941967653856
77,11.0,3.5,42.9,28.6,66.0,0.7,2.3,0.3,0.0,1.1,0,0.318181789256201,0.31818178925620094,0.47195240777982533,2.0909071900843723,0.08181817438016596
37,10.9,3.9,29.8,23.3,69.4,0.9,1.8,0.5,0.1,1.4,0,0.35779813231209795,0.20183484386836284,0.378787805208274,1.285713367347595,0.11926604410403265
67,10.1,3.1,38.4,18.8,66.1,0.9,2.5,0.5,0.0,1.1,1,0.30693066268013247,0.3564356082737022,0.4310343628936699,2.2727252066134485,0.10891088030585346
42,9.8,1.9,43.0,0.0,50.0,2.9,0.5,0.2,0.3,0.4,0,0.1938775312369866,0.4285713848396545,0.44559078537017566,1.2499968750078125,0.23469385360266798
50,9.8,5.2,47.3,35.7,67.0,1.5,0.9,0.6,0.0,0.8,0,0.5306121907538581,0.46938770720533624,0.5314798586508875,1.1249985937517577,0.15306120887130523
